Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
3.69E+00,6.07E-01,,,,,,,,,,,,,,,,,,,
3.70E+00,6.25E-01,,,,,,,,,,,,,,,,,,,
3.71E+00,6.42E-01,,,,,,,,,,,,,,,,,,,
3.73E+00,6.60E-01,,,,,,,,,,,,,,,,,,,
3.74E+00,6.77E-01,,,,,,,,,,,,,,,,,,,
3.76E+00,6.95E-01,,,,,,,,,,,,,,,,,,,
3.77E+00,7.13E-01,,,,,,,,,,,,,,,,,,,
3.79E+00,7.31E-01,,,,,,,,,,,,,,,,,,,
3.80E+00,7.49E-01,,,,,,,,,,,,,,,,,,,
3.81E+00,7.66E-01,,,,,,,,,,,,,,,,,,,
3.83E+00,7.84E-01,,,,,,,,,,,,,,,,,,,
3.84E+00,8.02E-01,,,,,,,,,,,,,,,,,,,
3.86E+00,8.20E-01,,,,,,,,,,,,,,,,,,,
3.87E+00,8.38E-01,,,,,,,,,,,,,,,,,,,
3.89E+00,8.56E-01,,,,,,,,,,,,,,,,,,,
3.90E+00,8.74E-01,,,,,,,,,,,,,,,,,,,
3.91E+00,8.92E-01,,,,,,,,,,,,,,,,,,,
3.93E+00,9.10E-01,,,,,,,,,,,,,,,,,,,
3.94E+00,9.28E-01,,,,,,,,,,,,,,,,,,,
3.96E+00,9.46E-01,,,,,,,,,,,,,,,,,,,
3.97E+00,9.64E-01,,,,,,,,,,,,,,,,,,,
3.99E+00,9.82E-01,,,,,,,,,,,,,,,,,,,
4.00E+00,1.00E+00,,,,,,,,,,,,,,,,,,,
4.01E+00,9.82E-01,,,,,,,,,,,,,,,,,,,
4.03E+00,9.64E-01,,,,,,,,,,,,,,,,,,,
4.04E+00,9.46E-01,,,,,,,,,,,,,,,,,,,
4.06E+00,9.28E-01,,,,,,,,,,,,,,,,,,,
4.07E+00,9.10E-01,,,,,,,,,,,,,,,,,,,
4.09E+00,8.92E-01,,,,,,,,,,,,,,,,,,,
4.10E+00,8.74E-01,,,,,,,,,,,,,,,,,,,
4.11E+00,8.56E-01,,,,,,,,,,,,,,,,,,,
4.13E+00,8.38E-01,,,,,,,,,,,,,,,,,,,
4.14E+00,8.20E-01,,,,,,,,,,,,,,,,,,,
4.16E+00,8.02E-01,,,,,,,,,,,,,,,,,,,
4.17E+00,7.84E-01,,,,,,,,,,,,,,,,,,,
4.19E+00,7.66E-01,,,,,,,,,,,,,,,,,,,
4.20E+00,7.49E-01,,,,,,,,,,,,,,,,,,,
4.21E+00,7.31E-01,,,,,,,,,,,,,,,,,,,
4.23E+00,7.13E-01,,,,,,,,,,,,,,,,,,,
4.24E+00,6.95E-01,,,,,,,,,,,,,,,,,,,
4.26E+00,6.77E-01,,,,,,,,,,,,,,,,,,,
4.27E+00,6.60E-01,,,,,,,,,,,,,,,,,,,
4.29E+00,6.42E-01,,,,,,,,,,,,,,,,,,,
4.30E+00,6.25E-01,,,,,,,,,,,,,,,,,,,
4.31E+00,6.07E-01,,,,,,,,,,,,,,,,,,,
4.33E+00,5.90E-01,,,,,,,,,,,,,,,,,,,
4.34E+00,5.73E-01,,,,,,,,,,,,,,,,,,,
4.36E+00,5.56E-01,,,,,,,,,,,,,,,,,,,
4.37E+00,5.39E-01,,,,,,,,,,,,,,,,,,,
4.39E+00,5.22E-01,,,,,,,,,,,,,,,,,,,
4.40E+00,5.05E-01,,,,,,,,,,,,,,,,,,,
4.41E+00,4.88E-01,,,,,,,,,,,,,,,,,,,
4.43E+00,4.72E-01,,,,,,,,,,,,,,,,,,,
4.44E+00,4.56E-01,,,,,,,,,,,,,,,,,,,
4.46E+00,4.39E-01,,,,,,,,,,,,,,,,,,,
4.47E+00,4.23E-01,,,,,,,,,,,,,,,,,,,
4.49E+00,4.07E-01,,,,,,,,,,,,,,,,,,,
4.50E+00,3.91E-01,,,,,,,,,,,,,,,,,,,
4.51E+00,3.75E-01,,,,,,,,,,,,,,,,,,,
4.53E+00,3.59E-01,,,,,,,,,,,,,,,,,,,
4.54E+00,3.44E-01,,,,,,,,,,,,,,,,,,,
4.56E+00,3.29E-01,,,,,,,,,,,,,,,,,,,
4.57E+00,3.14E-01,,,,,,,,,,,,,,,,,,,
4.59E+00,2.99E-01,,,,,,,,,,,,,,,,,,,
4.60E+00,2.85E-01,,,,,,,,,,,,,,,,,,,
4.61E+00,2.70E-01,,,,,,,,,,,,,,,,,,,
4.63E+00,2.56E-01,,,,,,,,,,,,,,,,,,,
4.64E+00,2.42E-01,,,,,,,,,,,,,,,,,,,
4.66E+00,2.28E-01,,,,,,,,,,,,,,,,,,,
4.67E+00,2.14E-01,,,,,,,,,,,,,,,,,,,
4.69E+00,2.01E-01,,,,,,,,,,,,,,,,,,,
4.70E+00,1.87E-01,,,,,,,,,,,,,,,,,,,
4.71E+00,1.75E-01,,,,,,,,,,,,,,,,,,,
4.73E+00,1.62E-01,,,,,,,,,,,,,,,,,,,
4.74E+00,1.50E-01,,,,,,,,,,,,,,,,,,,
4.76E+00,1.37E-01,,,,,,,,,,,,,,,,,,,
4.77E+00,1.26E-01,,,,,,,,,,,,,,,,,,,
4.79E+00,1.14E-01,,,,,,,,,,,,,,,,,,,
4.80E+00,1.03E-01,,,,,,,,,,,,,,,,,,,
4.81E+00,9.27E-02,,,,,,,,,,,,,,,,,,,
4.83E+00,8.25E-02,,,,,,,,,,,,,,,,,,,
4.84E+00,7.24E-02,,,,,,,,,,,,,,,,,,,
4.86E+00,6.27E-02,,,,,,,,,,,,,,,,,,,
4.87E+00,5.31E-02,,,,,,,,,,,,,,,,,,,
4.89E+00,4.45E-02,,,,,,,,,,,,,,,,,,,
4.90E+00,3.59E-02,,,,,,,,,,,,,,,,,,,
4.91E+00,2.84E-02,,,,,,,,,,,,,,,,,,,
4.93E+00,2.08E-02,,,,,,,,,,,,,,,,,,,
4.94E+00,1.48E-02,,,,,,,,,,,,,,,,,,,
4.96E+00,8.85E-03,,,,,,,,,,,,,,,,,,,
4.97E+00,4.43E-03,,,,,,,,,,,,,,,,,,,
4.99E+00,7.13E-17,,,,,,,,,,,,,,,,,,,
